Time,Load_corrected_for_curtailment,Wind_reference,PV_reference,Day_ahead_forecast
2021-02-25 12:30:00+00:00,1.59,-1.55,-0.28,
2021-02-25 12:45:00+00:00,2.09,-1.4,0.0,2.31
2021-02-25 13:00:00+00:00,2.72,-1.07,0.0,2.2
2021-02-25 13:15:00+00:00,3.36,-0.94,0.0,2.51
2021-02-25 13:30:00+00:00,4.83,-0.61,0.0,2.66
2021-02-25 13:45:00+00:00,5.35,-0.15,-0.55,2.58
2021-02-25 14:00:00+00:00,5.6,-0.16,0.0,2.6
2021-02-25 14:15:00+00:00,5.3,-0.17,0.0,2.66
2021-02-25 14:30:00+00:00,5.42,-0.17,-0.1,2.66
2021-02-25 14:45:00+00:00,5.44,-0.24,-0.47,3.08
2021-02-25 15:00:00+00:00,5.2,-0.33,-0.24,2.98
2021-02-25 15:15:00+00:00,4.9,-0.36,0.0,3.28
2021-02-25 15:30:00+00:00,4.87,-0.34,-0.02,3.81
2021-02-25 15:45:00+00:00,5.49,-0.17,-0.16,4.12
2021-02-25 16:00:00+00:00,5.66,-0.15,-0.15,4.18
2021-02-25 16:15:00+00:00,5.62,-0.22,0.0,4.67
2021-02-25 16:30:00+00:00,5.55,-0.39,0.0,4.93
2021-02-25 16:45:00+00:00,6.09,-0.26,0.0,5.07
2021-02-25 17:00:00+00:00,6.53,-0.12,0.0,4.96
2021-02-25 17:15:00+00:00,6.72,-0.06,0.0,4.88
2021-02-25 17:30:00+00:00,6.71,-0.1,0.0,4.91
2021-02-25 17:45:00+00:00,6.91,-0.01,0.0,5.0
2021-02-25 18:00:00+00:00,6.82,-0.04,0.0,5.47
2021-02-25 18:15:00+00:00,6.65,-0.05,0.0,5.53
2021-02-25 18:30:00+00:00,6.28,-0.17,0.0,5.34
2021-02-25 18:45:00+00:00,5.58,-0.47,0.0,5.27
2021-02-25 19:00:00+00:00,5.42,-0.56,0.0,4.94
2021-02-25 19:15:00+00:00,5.06,-0.59,0.0,4.94
2021-02-25 19:30:00+00:00,4.92,-0.61,0.0,4.7
2021-02-25 19:45:00+00:00,4.72,-0.53,0.0,4.67
2021-02-25 20:00:00+00:00,4.8,-0.45,0.0,4.65
2021-02-25 20:15:00+00:00,4.94,-0.45,0.0,4.64
2021-02-25 20:30:00+00:00,4.83,-0.42,0.0,4.62
2021-02-25 20:45:00+00:00,4.64,-0.39,0.0,4.07
2021-02-25 21:00:00+00:00,4.36,-0.4,0.0,3.8
2021-02-25 21:15:00+00:00,3.8,-0.62,0.0,3.76
2021-02-25 21:30:00+00:00,3.62,-0.66,0.0,3.58
2021-02-25 21:45:00+00:00,3.14,-0.8,0.0,3.45
2021-02-25 22:00:00+00:00,3.58,-0.6,0.0,3.23
